№;Название;Цвет;Тип;Текст;DLC;Комментарий;;;;;;;
171;Иноземные союзники;;Смута;"Выложите себе (и только себе) все карты
из колоды сгинувших, начиная с верхней.
Их свойства, срабатывающие
при появлении в доме, не разыгрываются.";Бежевое DLC;;;;;;;;
172;Наводнение;;Смута;"Обладатели замков по очереди либо перекладывают карту 
замка без персонажей игроку слева, либо перекладывают 
ему 3 карты этого дома, но оставляют карту замка себе.";Бежевое DLC;;;;;;;;
173;Блудница;Желтый;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";"Желтое
DLC";;;;;;;;
174;Паж;Желтый;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";"Желтое
DLC";;;;;;;;
175;Лекарь;Желтый;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";"Желтое
DLC";;;;;;;;
176;Казначей;Желтый;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";"Желтое
DLC";;;;;;;;
177;Лорд;Желтый;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";"Желтое
DLC";;;;;;;;
178;Чумовой;Желтый;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";"Желтое
DLC";;;;;;;;
179;Рыцарь;Желтый;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";"Желтое
DLC";;;;;;;;
180;Миротворец;Желтый;Карта дома;"В качестве действия можете
отправить любую карту
этого вашего дома в колоду
сгинувших, чтобы сбросить карту смуты.";"Желтое
DLC";;;;;;;;
181;Миледи;Желтый;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из жёлтого дома.";"Желтое
DLC";;;;;;;;
182;Лазутчица;Желтый;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";"Желтое
DLC";;;;;;;;
183;Вестник (зеленый);;Карта дома;"Выложите себе карту
зелёного дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
184;Вестник (красный);;Карта дома;"Выложите себе карту
красного дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
185;Вестник (синий);;Карта дома;"Выложите себе карту
синего дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
186;Вестник (розовый);;Карта дома;"Выложите себе карту
розового дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
187;Вестник (рыжий);;Карта дома;"Выложите себе карту
рыжего дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
188;Вестник (бежевый);;Карта дома;"Выложите себе карту
бежевого дома
из колоды сгинувших.";"Желтое
DLC";;;;;;;;
189;Летопись;;Карта приказа;"Возьмите верхнюю
карту из колоды приказов
(+1 карту за каждого Вестника
в ваших домах).";"Желтое
DLC";;;;;;;;
190;Летопись;;Карта приказа;"Возьмите верхнюю
карту из колоды приказов
(+1 карту за каждого Вестника
в ваших домах).";"Желтое
DLC";;;;;;;;
191;Спасение;;Карта приказа;"Играется только в чужой ход, но не
во время смуты. Выложите себе 
карту, только что оказавшуюся 
в колоде сгинувших. Её свойство
не разыгрывается.";"Желтое
DLC";;;;;;;;
192;Спасение;;Карта приказа;"Играется только в чужой ход, но не
во время смуты. Выложите себе 
карту, только что оказавшуюся 
в колоде сгинувших. Её свойство
не разыгрывается.";"Желтое
DLC";;;;;;;;
193;Обращение;;Карта приказа;Переверните любого Cлугу.;"Желтое
DLC";;;;;;;;
194;Обращение;;Карта приказа;Переверните любого Cлугу.;"Желтое
DLC";;;;;;;;
195;Покаяние;;Карта приказа;"Выберите дом соперника.
Отправьте карту
этого дома ему в руку.";"Желтое
DLC";;;;;;;;
196;Покаяние;;Карта приказа;"Выберите дом соперника.
Отправьте карту
этого дома ему в руку.";"Желтое
DLC";;;;;;;;
197;Прозрение;;Карта приказа;"Можете подсмотреть столько карт 
игровой колоды и забрать 
одну, сколько карт в жёлтом 
доме у вас выложено.";"Желтое
DLC";;;;;;;;
198;Жатва света;;Смута;"Игроки по очереди могут сбросить одну карту с руки,
чтобы забрать в руку любую карту дома со стола. 
Миротворец защищает дом.";"Желтое
DLC";;;;;;;;
199;Светлые времена;;Смута;"Возьмите колоду сгинувших, 
перемешайте её и положите
взакрытую поверх игровой колоды. ";"Желтое
DLC";;;;;;;;
200;Ураган;;Смута;"Скиньте карты замков со всех домов.
Бывшие обладатели замков по очереди перекладывают
любую карту из этого своего дома игроку справа.";"Желтое
DLC";;;;;;;;
201;Желтый замок;Желтый;Замок разовое;"Поменяйте местами 
любые две карты
дома на столе ";"Желтое
DLC";;;;;;;;
202;Желтый замок;Желтый;Замок постоянное;"Стихийные бедствия 
не скидывают эту 
карту замка";"Желтое
DLC";;;;;;;;
